,missing_files
0,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_01_00.csv.gz
1,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_01_07.csv.gz
2,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_01_08.csv.gz
3,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_01_09.csv.gz
4,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_01_10.csv.gz
5,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_01_12.csv.gz
6,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_01_14.csv.gz
7,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_01_17.csv.gz
8,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_01_18.csv.gz
9,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_01_21.csv.gz
10,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_01_22.csv.gz
11,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_01_23.csv.gz
12,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_00.csv.gz
13,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_01.csv.gz
14,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_02.csv.gz
15,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_03.csv.gz
16,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_04.csv.gz
17,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_05.csv.gz
18,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_06.csv.gz
19,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_07.csv.gz
20,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_09.csv.gz
21,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_12.csv.gz
22,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_14.csv.gz
23,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_17.csv.gz
24,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_18.csv.gz
25,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_21.csv.gz
26,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_02_23.csv.gz
27,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_07_23.csv.gz
28,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_08_00.csv.gz
29,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_08_06.csv.gz
30,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_08_08.csv.gz
31,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_08_11.csv.gz
32,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_08_12.csv.gz
33,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_08_13.csv.gz
34,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_08_16.csv.gz
35,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_08_20.csv.gz
36,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_10_22.csv.gz
37,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_11_02.csv.gz
38,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_11_04.csv.gz
39,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_11_06.csv.gz
40,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_11_07.csv.gz
41,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_11_10.csv.gz
42,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_11_11.csv.gz
43,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_11_13.csv.gz
44,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_11_16.csv.gz
45,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_11_19.csv.gz
46,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_11_22.csv.gz
47,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_12_04.csv.gz
48,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_12_05.csv.gz
49,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_12_08.csv.gz
50,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_12_09.csv.gz
51,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_12_10.csv.gz
52,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_12_12.csv.gz
53,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_12_13.csv.gz
54,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_12_14.csv.gz
55,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_12_15.csv.gz
56,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_12_16.csv.gz
57,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_12_17.csv.gz
58,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_12_18.csv.gz
59,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_12_22.csv.gz
60,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_03.csv.gz
61,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_04.csv.gz
62,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_05.csv.gz
63,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_06.csv.gz
64,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_07.csv.gz
65,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_08.csv.gz
66,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_11.csv.gz
67,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_12.csv.gz
68,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_13.csv.gz
69,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_14.csv.gz
70,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_17.csv.gz
71,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_18.csv.gz
72,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_19.csv.gz
73,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_20.csv.gz
74,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_22.csv.gz
75,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_13_23.csv.gz
76,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_01.csv.gz
77,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_02.csv.gz
78,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_03.csv.gz
79,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_07.csv.gz
80,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_08.csv.gz
81,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_09.csv.gz
82,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_10.csv.gz
83,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_11.csv.gz
84,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_12.csv.gz
85,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_13.csv.gz
86,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_14.csv.gz
87,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_15.csv.gz
88,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_18.csv.gz
89,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_20.csv.gz
90,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_14_21.csv.gz
91,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_15_01.csv.gz
92,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_15_02.csv.gz
93,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_15_05.csv.gz
94,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_15_06.csv.gz
95,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_15_08.csv.gz
96,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_15_09.csv.gz
97,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_15_10.csv.gz
98,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_15_11.csv.gz
99,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_15_14.csv.gz
100,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_15_15.csv.gz
101,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_15_16.csv.gz
102,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_15_20.csv.gz
103,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_15_23.csv.gz
104,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_16_01.csv.gz
105,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_16_02.csv.gz
106,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_16_03.csv.gz
107,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_16_05.csv.gz
108,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_16_06.csv.gz
109,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_16_07.csv.gz
110,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_1_16_10.csv.gz
111,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_05_01.csv.gz
112,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_05_02.csv.gz
113,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_05_06.csv.gz
114,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_05_07.csv.gz
115,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_05_08.csv.gz
116,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_05_09.csv.gz
117,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_05_12.csv.gz
118,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_05_13.csv.gz
119,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_05_15.csv.gz
120,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_05_20.csv.gz
121,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_05_21.csv.gz
122,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_05_22.csv.gz
123,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_06_00.csv.gz
124,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_06_01.csv.gz
125,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_06_02.csv.gz
126,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_06_03.csv.gz
127,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_06_05.csv.gz
128,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_06_09.csv.gz
129,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_06_12.csv.gz
130,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_06_14.csv.gz
131,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_06_15.csv.gz
132,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_13_02.csv.gz
133,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_13_03.csv.gz
134,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_13_04.csv.gz
135,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_13_05.csv.gz
136,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_13_08.csv.gz
137,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_13_11.csv.gz
138,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_13_12.csv.gz
139,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_13_18.csv.gz
140,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_13_20.csv.gz
141,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_14_02.csv.gz
142,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_14_03.csv.gz
143,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_14_06.csv.gz
144,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_14_07.csv.gz
145,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_14_08.csv.gz
146,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_14_09.csv.gz
147,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_14_10.csv.gz
148,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_14_11.csv.gz
149,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_14_12.csv.gz
150,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_14_14.csv.gz
151,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_14_16.csv.gz
152,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_14_21.csv.gz
153,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_03.csv.gz
154,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_04.csv.gz
155,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_05.csv.gz
156,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_06.csv.gz
157,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_07.csv.gz
158,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_08.csv.gz
159,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_09.csv.gz
160,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_10.csv.gz
161,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_11.csv.gz
162,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_13.csv.gz
163,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_14.csv.gz
164,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_15.csv.gz
165,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_18.csv.gz
166,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_22.csv.gz
167,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_16_00.csv.gz
168,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_16_01.csv.gz
169,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_16_02.csv.gz
170,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_16_03.csv.gz
171,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_16_05.csv.gz
172,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_16_06.csv.gz
173,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_16_10.csv.gz
174,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_16_11.csv.gz
175,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_16_13.csv.gz
176,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_16_14.csv.gz
177,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_16_20.csv.gz
178,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_17_20.csv.gz
179,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_17_22.csv.gz
180,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_29_19.csv.gz
181,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_29_20.csv.gz
182,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_29_23.csv.gz
183,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_30_04.csv.gz
184,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_30_05.csv.gz
185,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_30_06.csv.gz
186,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_30_07.csv.gz
187,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_30_08.csv.gz
188,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_30_10.csv.gz
189,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_30_13.csv.gz
190,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_30_15.csv.gz
191,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_30_16.csv.gz
192,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_30_17.csv.gz
193,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_30_18.csv.gz
194,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_30_22.csv.gz
195,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_31_01.csv.gz
196,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_31_03.csv.gz
197,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_31_04.csv.gz
198,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_31_06.csv.gz
199,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_31_11.csv.gz
200,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_31_13.csv.gz
201,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_31_14.csv.gz
202,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_31_17.csv.gz
203,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_31_20.csv.gz
204,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_31_21.csv.gz
205,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_00.csv.gz
206,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_01.csv.gz
207,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_02.csv.gz
208,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_03.csv.gz
209,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_04.csv.gz
210,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_05.csv.gz
211,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_06.csv.gz
212,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_07.csv.gz
213,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_08.csv.gz
214,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_10.csv.gz
215,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_11.csv.gz
216,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_12.csv.gz
217,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_15.csv.gz
218,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_16.csv.gz
219,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_17.csv.gz
220,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_18.csv.gz
221,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_19.csv.gz
222,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_20.csv.gz
223,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_21.csv.gz
224,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_22.csv.gz
225,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_01_23.csv.gz
226,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_02_00.csv.gz
227,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_00.csv.gz
228,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_01.csv.gz
229,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_02.csv.gz
230,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_03.csv.gz
231,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_04.csv.gz
232,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_05.csv.gz
233,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_06.csv.gz
234,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_07.csv.gz
235,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_08.csv.gz
236,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_09.csv.gz
237,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_11.csv.gz
238,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_12.csv.gz
239,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_13.csv.gz
240,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_15.csv.gz
241,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_16.csv.gz
242,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_17.csv.gz
243,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_18.csv.gz
244,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_19.csv.gz
245,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_20.csv.gz
246,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_22.csv.gz
247,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_10_23.csv.gz
248,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_00.csv.gz
249,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_01.csv.gz
250,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_02.csv.gz
251,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_03.csv.gz
252,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_04.csv.gz
253,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_05.csv.gz
254,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_06.csv.gz
255,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_07.csv.gz
256,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_08.csv.gz
257,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_09.csv.gz
258,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_10.csv.gz
259,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_11.csv.gz
260,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_12.csv.gz
261,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_13.csv.gz
262,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_14.csv.gz
263,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_15.csv.gz
264,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_16.csv.gz
265,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_17.csv.gz
266,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_18.csv.gz
267,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_19.csv.gz
268,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_11_20.csv.gz
269,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_00.csv.gz
270,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_01.csv.gz
271,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_02.csv.gz
272,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_03.csv.gz
273,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_04.csv.gz
274,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_05.csv.gz
275,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_06.csv.gz
276,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_07.csv.gz
277,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_08.csv.gz
278,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_09.csv.gz
279,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_10.csv.gz
280,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_11.csv.gz
281,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_12.csv.gz
282,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_13.csv.gz
283,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_15.csv.gz
284,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_16.csv.gz
285,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_17.csv.gz
286,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_18.csv.gz
287,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_21.csv.gz
288,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_22.csv.gz
289,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_15_23.csv.gz
290,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_4_18_01.csv.gz
